tier,id,name,address,province,local_image_count,status,image_files
2,DNai_0018,Hồ Trị An,"Vĩnh Cửu - Định Quán, Đồng Nai",Đồng Nai,0,missing,
2,DNai_0067,Làng bưởi Tân Triều,"Vĩnh Cửu, Đồng Nai",Đồng Nai,0,missing,
2,DNai_0016,Khu du lịch Sơn Tiên,"Biên Hòa, Đồng Nai",Đồng Nai,0,missing,
2,DNai_0012,Cù lao Phố,"Biên Hòa, Đồng Nai",Đồng Nai,0,missing,
2,DNai_0027,Nam Cát Tiên,"Tân Phú, Đồng Nai",Đồng Nai,0,missing,
2,BRVT_0008,Cáp treo Hồ Mây,"TP Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,0,missing,
2,BRVT_0010,Mũi Nghinh Phong,"TP Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,0,missing,
2,BRVT_0001,Bãi Sau Vũng Tàu,"Thùy Vân, TP Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,0,missing,
2,BRVT_0002,Bãi Trước Vũng Tàu,"TP Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,0,missing,
2,BRVT_0013,Hòn Bà Vũng Tàu,"TP Vũng Tàu, Bà Rịa - Vũng Tàu",Bà Rịa - Vũng Tàu,0,missing,
