rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
NB_0003,2,data/image_pipeline/downloaded/optimized/NB_0003/NB_0003_01.webp,data/image_pipeline/downloaded/optimized/NB_0003/NB_0003_01.webp|data/image_pipeline/downloaded/optimized/NB_0003/NB_0003_02.webp,768256
NB_0006,2,data/image_pipeline/downloaded/optimized/NB_0006/NB_0006_01.webp,data/image_pipeline/downloaded/optimized/NB_0006/NB_0006_01.webp|data/image_pipeline/downloaded/optimized/NB_0006/NB_0006_02.webp,209128
NB_0008,4,data/image_pipeline/downloaded/optimized/NB_0008/NB_0008_01.webp,data/image_pipeline/downloaded/optimized/NB_0008/NB_0008_01.webp|data/image_pipeline/downloaded/optimized/NB_0008/NB_0008_02.webp|data/image_pipeline/downloaded/optimized/NB_0008/NB_0008_03.webp|data/image_pipeline/downloaded/optimized/NB_0008/NB_0008_04.webp,611098
NB_0030,3,data/image_pipeline/downloaded/optimized/NB_0030/NB_0030_01.webp,data/image_pipeline/downloaded/optimized/NB_0030/NB_0030_01.webp|data/image_pipeline/downloaded/optimized/NB_0030/NB_0030_02.webp|data/image_pipeline/downloaded/optimized/NB_0030/NB_0030_03.webp,215706
NB_0035,3,data/image_pipeline/downloaded/optimized/NB_0035/NB_0035_01.webp,data/image_pipeline/downloaded/optimized/NB_0035/NB_0035_01.webp|data/image_pipeline/downloaded/optimized/NB_0035/NB_0035_02.webp|data/image_pipeline/downloaded/optimized/NB_0035/NB_0035_03.webp,527552
PY_0001,2,data/image_pipeline/downloaded/optimized/PY_0001/PY_0001_01.webp,data/image_pipeline/downloaded/optimized/PY_0001/PY_0001_01.webp|data/image_pipeline/downloaded/optimized/PY_0001/PY_0001_02.webp,312606
PY_0011,3,data/image_pipeline/downloaded/optimized/PY_0011/PY_0011_01.webp,data/image_pipeline/downloaded/optimized/PY_0011/PY_0011_01.webp|data/image_pipeline/downloaded/optimized/PY_0011/PY_0011_02.webp|data/image_pipeline/downloaded/optimized/PY_0011/PY_0011_03.webp,722896
QB_0001,2,data/image_pipeline/downloaded/optimized/QB_0001/QB_0001_01.webp,data/image_pipeline/downloaded/optimized/QB_0001/QB_0001_01.webp|data/image_pipeline/downloaded/optimized/QB_0001/QB_0001_02.webp,322848
QB_0002,1,data/image_pipeline/downloaded/optimized/QB_0002/QB_0002_01.webp,data/image_pipeline/downloaded/optimized/QB_0002/QB_0002_01.webp,126486
QB_0003,3,data/image_pipeline/downloaded/optimized/QB_0003/QB_0003_01.webp,data/image_pipeline/downloaded/optimized/QB_0003/QB_0003_01.webp|data/image_pipeline/downloaded/optimized/QB_0003/QB_0003_02.webp|data/image_pipeline/downloaded/optimized/QB_0003/QB_0003_03.webp,743882
QB_0004,1,data/image_pipeline/downloaded/optimized/QB_0004/QB_0004_01.webp,data/image_pipeline/downloaded/optimized/QB_0004/QB_0004_01.webp,247846
QN_0001,2,data/image_pipeline/downloaded/optimized/QN_0001/QN_0001_01.webp,data/image_pipeline/downloaded/optimized/QN_0001/QN_0001_01.webp|data/image_pipeline/downloaded/optimized/QN_0001/QN_0001_02.webp,175646
