rag_place_id,place_name,original_image_url,source_page_url,source,credit,license_note,image_order,is_primary,local_original_path,local_optimized_path,public_url,download_status,http_status,content_type,original_width,original_height,optimized_width,optimized_height,file_size_bytes,fail_reason,downloaded_at
HCM_0063,Địa đạo Củ Chi,https://commons.wikimedia.org/wiki/Special:FilePath/C%E1%BB%A7%20Chi%20tunnels%20entrance.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/C%E1%BB%A7%20Chi%20tunnels%20entrance.JPG,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,4,0,data/image_pipeline/downloaded/original/HCM_0063/HCM_0063_04_2ddaaf5bb733.jpg,data/image_pipeline/downloaded/optimized/HCM_0063/HCM_0063_04.webp,/images/destinations/HCM_0063/HCM_0063_04.webp,downloaded,200,image/jpeg,4272,2848,1280,853,188674,,2026-05-07T14:20:24+00:00
HCM_0063,Địa đạo Củ Chi,https://commons.wikimedia.org/wiki/Special:FilePath/VietnamCuChiTunnelsCommand.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/VietnamCuChiTunnelsCommand.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,5,0,data/image_pipeline/downloaded/original/HCM_0063/HCM_0063_05_0def0ec1e1b1.jpg,data/image_pipeline/downloaded/optimized/HCM_0063/HCM_0063_05.webp,/images/destinations/HCM_0063/HCM_0063_05.webp,downloaded,200,image/jpeg,464,316,464,316,50916,,2026-05-07T14:20:27+00:00
HCM_0013,Bảo tàng Chứng tích Chiến tranh,https://commons.wikimedia.org/wiki/Special:FilePath/War%20Remnants%20Museum%2C%20HCMC%2C%20front.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/War%20Remnants%20Museum%2C%20HCMC%2C%20front.JPG,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/HCM_0013/HCM_0013_01_09fe44589812.jpg,data/image_pipeline/downloaded/optimized/HCM_0013/HCM_0013_01.webp,/images/destinations/HCM_0013/HCM_0013_01.webp,downloaded,200,image/jpeg,4401,3264,1280,949,88680,,2026-05-07T14:20:29+00:00
HCM_0013,Bảo tàng Chứng tích Chiến tranh,https://commons.wikimedia.org/wiki/Special:FilePath/Ho%20Chi%20Minh%20City%2C%20Vietnam%2C%20War%20Remnants%20Museum.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Ho%20Chi%20Minh%20City%2C%20Vietnam%2C%20War%20Remnants%20Museum.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,2,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T14:20:31+00:00
HCM_0013,Bảo tàng Chứng tích Chiến tranh,https://commons.wikimedia.org/wiki/Special:FilePath/War%20Remnants%20Museum%202025.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/War%20Remnants%20Museum%202025.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,3,0,data/image_pipeline/downloaded/original/HCM_0013/HCM_0013_03_f2f0af30e9be.jpg,data/image_pipeline/downloaded/optimized/HCM_0013/HCM_0013_03.webp,/images/destinations/HCM_0013/HCM_0013_03.webp,downloaded,200,image/jpeg,1024,768,1024,768,107410,,2026-05-07T14:20:33+00:00
HCM_0008,Bitexco Financial Tower Saigon Skydeck,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,data/image_pipeline/downloaded/original/HCM_0008/HCM_0008_01_b4fa14c5f361.jpg,data/image_pipeline/downloaded/optimized/HCM_0008/HCM_0008_01.webp,/images/destinations/HCM_0008/HCM_0008_01.webp,downloaded,200,image/jpeg,4500,3000,1280,853,134874,,2026-05-07T14:20:35+00:00
HCM_0008,Bitexco Financial Tower Saigon Skydeck,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%20in%20morning%20sunlight.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%20in%20morning%20sunlight.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,2,0,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T14:20:38+00:00
HCM_0008,Bitexco Financial Tower Saigon Skydeck,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%2C%20Ho%20Chi%20Minh%20City%2C%20Vietnam.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%2C%20Ho%20Chi%20Minh%20City%2C%20Vietnam.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,3,0,data/image_pipeline/downloaded/original/HCM_0008/HCM_0008_03_a46559e170a0.jpg,data/image_pipeline/downloaded/optimized/HCM_0008/HCM_0008_03.webp,/images/destinations/HCM_0008/HCM_0008_03.webp,downloaded,200,image/jpeg,2160,2880,1280,1706,160954,,2026-05-07T14:20:40+00:00
HCM_0008,Bitexco Financial Tower Saigon Skydeck,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%2C%20Ciudad%20Ho%20Chi%20Minh%2C%20Vietnam%2C%202013-08-14%2C%20DD%2005.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Bitexco%20Financial%20Tower%2C%20Ciudad%20Ho%20Chi%20Minh%2C%20Vietnam%2C%202013-08-14%2C%20DD%2005.JPG,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,4,0,data/image_pipeline/downloaded/original/HCM_0008/HCM_0008_04_d31c3c5c1c0b.jpg,data/image_pipeline/downloaded/optimized/HCM_0008/HCM_0008_04.webp,/images/destinations/HCM_0008/HCM_0008_04.webp,downloaded,200,image/jpeg,3330,5400,1280,2075,184824,,2026-05-07T14:20:42+00:00
HCM_0075,Thảo Cầm Viên Sài Gòn,https://commons.wikimedia.org/wiki/Special:FilePath/Thao%20cam%20vien%20Saigon.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Thao%20cam%20vien%20Saigon.jpg,Wikimedia Commons,,Cần kiểm tra quyền sử dụng,1,1,,,,failed,429,text/html; charset=utf-8,,,,,,http_status_429,2026-05-07T14:20:45+00:00
